"configuration","problem","model","data_file","status","time","run","objective"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","","452.03","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","3.11","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","66.53","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","66.59","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","1.01","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","1.04","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","3.34","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","3.37","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","43.0","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","","43.09","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","23.46","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","23.5","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","8.0","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","","127.76","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","","127.96","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","1.26","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","1.29","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","35.21","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","35.25","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","","3.38","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","","72.28","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","7.8","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","","7.82","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","17.62","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","","1046.2","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","","1046.43","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","","24.21","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw",""
