"configuration","problem","model","data_file","status","time","nClauseVariables","error","bimanderTotalOffset","bimanderTotalN","bimanderCount","paths","method","flatBoolConstraints","nVariables","flatBoolVars","evaluatedReifiedConstraints","run","bimanderTotalM","solveTime","bimanderTotalAbsoluteBalance","flatTime","nSolutions","processFlatZincTime","nClauses"
"mzn-sat-lingeling-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","50.621855932986364","1102589","","0","0","0","0","satisfy","251557","37541","21170","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","38.16","0","10.4841","2","0.9685","399339"
"mzn-sat-clasp-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","19.236669270088896","860484","","0","0","0","0","satisfy","312670","21837","21758","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1.0396","0","15.8883","1","0.8565","308964"
"mzn-sat-glucose-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0356947991531","233160","","0","0","0","0","satisfy","82171","12351","12353","28479","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1189.0998","0","11.0186","0","0.2256","81891"
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","SATISFIED","3.414155201986432","142022","","0","0","0","0","satisfy","52816","4222","4165","2362","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.0794","0","2.82226","1","0.2258","51781"
"mzn-sat-clasp-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.0385675039142","620670","","0","0","0","0","satisfy","98596","10126","13178","2568","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1189.2577","0","10.8586","","0.334","91441"
"mzn-sat-lingeling-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","SATISFIED","567.6226476840675","4805580","","0","0","0","0","satisfy","1718866","108009","107690","26232","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","468.3553","0","85.7936","2","5.1089","1710480"
"mzn-sat-clasp-direct+order-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","SATISFIED","32.31691072997637","21998","","0","0","0","0","satisfy","8132","1562","1624","2606","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","31.2651","0","0.936645","1","0.018","7892"
"mzn-sat-glucose-direct+order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","SATISFIED","134.42323794192635","4805580","","0","0","0","0","satisfy","1718866","108009","107690","26232","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","35.6447","0","86.5237","2","5.1525","1710480"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=08;m=08;holes={}","SATISFIED","3.223507446004078","199729","","0","0","0","0","satisfy","42165","7211","4226","2362","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.8809","0","1.97638","1","0.1738","74741"
"mzn-sat-glucose-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","SATISFIED","18.861186348134652","858438","","0","0","0","0","satisfy","309904","21326","21029","7974","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1.6024","0","15.2432","2","0.894","307941"
"mzn-sat-clasp-direct-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=16;m=16;holes={}","SATISFIED","77.15558708785102","2926790","","0","0","0","0","satisfy","1046416","66878","66181","18578","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","18.5497","0","50.4534","1","3.2729","1043269"
"mzn-sat-glucose-direct-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=12;m=12;holes={}","UNKNOWN","1200.5638202950358","79993","","0","0","0","0","satisfy","26960","4265","4109","8820","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1197.2425","0","2.87391","0","0.0682","28407"
"mzn-sat-clasp-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=10;m=10;holes={}","SATISFIED","6.507677512941882","512077","","0","0","0","0","satisfy","113889","20313","10262","4640","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","0.7937","0","4.7891","1","0.4502","187463"
"mzn-sat-lingeling-direct-direct","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=14;m=14;holes={}","SATISFIED","693.5294071070384","2103313","","0","0","0","0","satisfy","486657","65015","39062","12556","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","669.4867","0","20.0542","2","1.8638","757481"
"mzn-sat-clasp-order-order","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=18;m=18;holes={}","UNKNOWN","1201.2559182029217","","","","","","0","satisfy","1736449","","128638","128555","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","","","","89.7249","","",""
"mzn-sat-lingeling-binary-binary","knights","../../libminizinc/thesis/benchmarks/minizinc-benchmarks/knights_circuit/knights_circuit.mzn","n=22;m=22;holes={}","UNKNOWN","1201.0794631789904","1022059","","0","0","0","0","satisfy","153598","15249","19860","3848","/home/hbierlee/Projects/mzn-bench/results/2021-05-17-knights/raw","0","1180.9938","0","19.1448","","0.5344","142676"
