"configuration","problem","model","data_file","status","time","failures","nSolutions","peakDepth","restarts","paths","nogoods","randomSeed","evaluatedReifiedConstraints","trailMem","baseMem","backjumps","optTime","solutions","variables","run","method","flatIntConstraints","propagators","intVars","objective","peakMem","flatBoolConstraints","processFlatZincTime","flatIntVars","flatTime","flatBoolVars","solveTime","initTime","boolVariables","nodes","propagations"
"gecode","jsswet","jsswet.mzn","jsswet_swv13.dzn","SATISFIED","600.0581984670134","6564727","5465","340","0","0","","","","","","","","5465","651","raw","minimize","611","605","","213517","","","","651","0.116247","","599.879","0.004408","","13144931","104051232"
"picat_sat","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","330.7326891699922","","9","","","0","","","2100","","","","","","","raw","minimize","2281","","","15390","","1050","0.2304349659990929","196","0.133044","2100","330.36921020399313","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_la18.dzn","SATISFIED","600.0477265070076","29933340","513","76","0","0","","","","","","","","513","131","raw","minimize","131","130","","9121","","","","131","0.051569","","599.943","0.001163","","59869894","725921829"
"gecode","jsswet","jsswet.mzn","jsswet_swv02.dzn","SATISFIED","600.0466788850026","3223526","7515","139","0","0","","","","","","","","7515","261","raw","minimize","251","249","","64059","","","","261","0.060656","","599.934","0.001899","","6587657","262850085"
"picat_sat","jsswet","jsswet.mzn","jsswet_la22.dzn","OPTIMAL_SOLUTION","313.4688106480171","","11","","","0","","","2100","","","","","","","raw","minimize","2281","","","13496","","1050","0.2394299659990929","196","0.124049","2100","313.105331682018","","","",""
"gecode","jsswet","jsswet.mzn","jsswet_orb03.dzn","SATISFIED","600.045989398961","12954800","5138","81","0","0","","","","","","","","5138","131","raw","minimize","131","130","","6418","","","","131","0.053185","","599.941","0.001183","","25995464","706881777"
"gecode","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","4.26298057398526","4955","3088","11","0","0","","","","","","","","3088","19","raw","minimize","19","19","","0","","","","19","0.04504","","1.67245","0.000746","","17841","109625"
"gecode","jsswet","jsswet.mzn","jsswet_la02.dzn","SATISFIED","600.0431320520001","31403998","4643","58","0","0","","","","","","","","4643","81","raw","minimize","76","76","","14852","","","","81","0.049362","","599.945","0.000817","","62842448","876016975"
"gecode","jsswet","jsswet.mzn","jsswet_la30.dzn","SATISFIED","600.0466405610205","3109025","2","129","0","0","","","","","","","","2","261","raw","minimize","251","247","","57566","","","","261","0.063359","","599.932","0.001879","","6218163","250434603"
"picat_sat","jsswet","jsswet.mzn","jsswet_la38.dzn","OPTIMAL_SOLUTION","313.1909003229812","","14","","","0","","","3150","","","","","","","raw","minimize","3406","","","62010","","1575","0.1719599659990929","271","0.191519","3150","312.8274213569821","","","",""
