"configuration","problem","model","data_file","status","time","failures","restarts","nSolutions","solveTime","optTime","variables","baseMem","processFlatZincTime","flatIntConstraints","peakMem","randomSeed","run","flatTime","method","peakDepth","propagations","flatIntVars","solutions","flatBoolVars","backjumps","initTime","trailMem","boolVariables","evaluatedReifiedConstraints","nogoods","flatBoolConstraints","objective","intVars","paths","propagators","nodes"
"gecode","jsswet","jsswet.mzn","jsswet_swv13.dzn","UNKNOWN","600.0609840120305","1490967","0","0","599.882","","651","","","612","","","raw","0.114489","minimize","231","375667512","651","0","","","0.00426","","","","","","","","0","612","2982148"
"picat_sat","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","159.58391371800099","","","8","159.2400282979943","","","","0.21094042000669985","2282","","","raw","0.132945","minimize","","","196","","2100","","","","","2100","","1050","71","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la18.dzn","OPTIMAL_SOLUTION","16.582344190974254","18537","0","3541","15.4653","","131","","","132","","","raw","0.053746","minimize","74","1044201","131","3541","","","0.001269","","","","","","0","","0","132","104099"
"gecode","jsswet","jsswet.mzn","jsswet_swv02.dzn","SATISFIED","600.0434732729918","5567327","0","230","599.929","","261","","","252","","","raw","0.065388","minimize","138","249895775","261","230","","","0.002042","","","","","","15786","","0","252","11138124"
"picat_sat","jsswet","jsswet.mzn","jsswet_la22.dzn","OPTIMAL_SOLUTION","140.07246381801087","","","8","139.72857839800417","","","","0.20884342000669986","2282","","","raw","0.135042","minimize","","","196","","2100","","","","","2100","","1050","41","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_orb03.dzn","SATISFIED","600.0441397450049","15549663","0","65","599.94","","131","","","132","","","raw","0.054477","minimize","68","586754338","131","65","","","0.001314","","","","","","8226","","0","132","31100693"
"gecode","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","0.47927358601009473","354","0","286","0.046566","","19","","","20","","","raw","0.044346","minimize","11","10627","19","286","","","0.000516","","","","","","0","","0","20","1472"
"gecode","jsswet","jsswet.mzn","jsswet_la02.dzn","OPTIMAL_SOLUTION","10.297194771002978","37312","0","2424","9.74394","","81","","","77","","","raw","0.049739","minimize","52","4679800","81","2424","","","0.000885","","","","","","75","","0","77","107987"
"gecode","jsswet","jsswet.mzn","jsswet_la30.dzn","SATISFIED","600.0470408169786","1726542","0","1926","599.929","","261","","","252","","","raw","0.065631","minimize","159","293881509","261","1926","","","0.002108","","","","","","15987","","0","252","3523132"
"picat_sat","jsswet","jsswet.mzn","jsswet_la38.dzn","OPTIMAL_SOLUTION","182.8742121999967","","","10","182.53032677999","","","","0.14936542000669986","3407","","","raw","0.19452","minimize","","","271","","3150","","","","","3150","","1575","0","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","0.6104452260187827","432","39","36","0.374","0.374","112924","0.0","","77","0.0","1630368723","raw","0.049796","minimize","435","509912","81","","","2616","0.113","0.94","112840","","432","","127","82","0","544","8711"
"picat_sat","jsswet","jsswet.mzn","jsswet_la31.dzn","SATISFIED","600.2812231950229","","","2","599.9373377750162","","","","-0.07175957999330013","9062","","","raw","0.415645","minimize","","","391","","8700","","","","","8700","","4350","27573","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_abz6.dzn","SATISFIED","600.0423885250348","19824058","0","1535","599.929","","131","","","132","","","raw","0.065317","minimize","74","1552069487","131","1535","","","0.001124","","","","","","1277","","0","132","39681663"
"chuffed","jsswet","jsswet.mzn","jsswet_la33.dzn","SATISFIED","600.0740334650036","","","84","","","","","","372","","","raw","0.087157","minimize","","","391","","","","","","","","","","16073","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","156.64266526600113","","","9","156.29877984599443","","","","0.12566842000669987","3407","","","raw","0.218217","minimize","","","271","","3150","","","","","3150","","1575","0","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la29.dzn","OPTIMAL_SOLUTION","0.524872071982827","554","7","4","0.38","0.379","53790","0.0","","252","0.0","1630369796","raw","0.068054","minimize","580","2562478","261","","","9760","0.012","3.16","53526","","554","","27","262","0","4084","12172"
"gecode","jsswet","jsswet.mzn","jsswet_swv11.dzn","UNKNOWN","600.056431992969","1909132","0","0","599.88","","651","","","612","","","raw","0.115365","minimize","233","368399759","651","0","","","0.004437","","","","","","","","0","612","3818482"
"picat_sat","jsswet","jsswet.mzn","jsswet_swv12.dzn","UNKNOWN","600.5700150899938","","","0","","","","","","25102","","","raw","1.0896","minimize","","","651","","24500","","","","","24500","","12250","","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la32.dzn","SATISFIED","600.0812867729692","","","59","","","","","","372","","","raw","0.088674","minimize","","","391","","","","","","","","","","28577","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_swv06.dzn","SATISFIED","600.1744668220053","","","7","599.8305814019986","","","","0.05971142000669988","6042","","","raw","0.284174","minimize","","","361","","5700","","","","","5700","","2850","205","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la06.dzn","SATISFIED","600.0433629010222","5590021","0","6276","599.941","","121","","","112","","","raw","0.053646","minimize","89","858454890","120","6276","","","0.001112","","","","","","3513","","0","111","11278430"
"chuffed","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","0.2488702000118792","22","96","96","0.057","0.057","9555","0.0","","20","0.0","1630371707","raw","0.043763","minimize","134","20078","19","","","72","0.008","0.05","9533","","22","","0","20","0","46","1960"
"chuffed","jsswet","jsswet.mzn","jsswet_swv14.dzn","UNKNOWN","600.1764275060268","","","0","","","","","","612","","","raw","0.118212","minimize","","","651","","","","","","","","","","","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_la26.dzn","SATISFIED","600.0459020670387","3563599","0","708","599.927","","261","","","252","","","raw","0.067262","minimize","145","308577876","261","708","","","0.002123","","","","","","9836","","0","252","7151361"
"picat_sat","jsswet","jsswet.mzn","jsswet_orb03.dzn","OPTIMAL_SOLUTION","86.09002761798911","","","8","85.74614219798241","","","","0.2558444200066999","1022","","","raw","0.088041","minimize","","","131","","900","","","","","900","","450","69","","0","",""
"picat_sat","jsswet","jsswet.mzn","jsswet_la33.dzn","SATISFIED","600.2862282999558","","","2","599.9423428799491","","","","-0.08308257999330015","9062","","","raw","0.426968","minimize","","","391","","8700","","","","","8700","","4350","28256","","0","",""
"chuffed","jsswet","jsswet.mzn","jsswet_la06.dzn","OPTIMAL_SOLUTION","0.45949610898969695","267","26","24","0.307","0.307","53607","0.0","","112","0.0","1630368796","raw","0.056898","minimize","284","541095","120","","","3209","0.031","0.94","53484","","267","","67","121","0","1184","7125"
"gecode","jsswet","jsswet.mzn","jsswet_ft06.dzn","OPTIMAL_SOLUTION","0.4905070629902184","439","0","182","0.079405","","55","","","56","","","raw","0.053046","minimize","27","18186","55","182","","","0.000844","","","","","","2","","0","56","2004"
"gecode","jsswet","jsswet.mzn","jsswet_la25.dzn","SATISFIED","600.0506837170105","12901656","0","2361","599.936","","196","","","192","","","raw","0.058896","minimize","111","900966444","196","2361","","","0.001672","","","","","","1080","","0","192","25828546"
"gecode","jsswet","jsswet.mzn","jsswet_la33.dzn","UNKNOWN","600.0492582030129","5302807","0","0","599.905","","391","","","372","","","raw","0.090177","minimize","173","638376503","391","0","","","0.003022","","","","","","","","0","372","10605745"
"gecode","jsswet","jsswet.mzn","jsswet_la22.dzn","SATISFIED","600.0433962320094","3365831","0","741","599.939","","196","","","192","","","raw","0.055574","minimize","106","504153018","196","741","","","0.001575","","","","","","2894","","0","192","6740673"
"chuffed","jsswet","jsswet.mzn","jsswet_orb03.dzn","OPTIMAL_SOLUTION","16.42054347600788","8517","835","804","16.258","16.257","94912","0.0","","132","0.0","1630370605","raw","0.057289","minimize","341","20828704","131","","","13567","0.015","0.94","94778","","8517","","69","132","0","1054","237694"
"chuffed","jsswet","jsswet.mzn","jsswet_swv10.dzn","OPTIMAL_SOLUTION","361.3613923980156","239670","1269","758","360.929","360.916","573319","0.0","","357","0.0","1630371316","raw","0.08709","minimize","8513","1887021273","361","","","504509","0.017","81.1","572955","","239670","","28","362","0","6094","1466107"
"picat_sat","jsswet","jsswet.mzn","jsswet_la03.dzn","OPTIMAL_SOLUTION","69.8826263169758","","","5","69.5387408969691","","","","0.2784364200066999","522","","","raw","0.065449","minimize","","","81","","450","","","","","450","","225","101","","0","",""
"gecode","jsswet","jsswet.mzn","jsswet_swv12.dzn","UNKNOWN","600.058820219012","2847617","0","0","599.879","","651","","","612","","","raw","0.116145","minimize","274","413512388","651","0","","","0.004415","","","","","","","","0","612","5695466"
"chuffed","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","5.4185914769768715","879","285","279","5.266","5.265","92597","0.0","","192","0.0","1630369422","raw","0.061747","minimize","458","6078569","196","","","8449","0.015","2.11","92398","","879","","71","197","0","2319","109136"
"picat_sat","jsswet","jsswet.mzn","jsswet_yn4.dzn","OPTIMAL_SOLUTION","542.1453678919934","","","9","541.8014824719867","","","","-0.017001579993300153","8042","","","raw","0.360887","minimize","","","460","","7600","","","","","7600","","3800","35","","0","",""
