"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","","0.13","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la33.dzn","","683.42","raw","81"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la33.dzn","","684.31","raw","81"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv02.dzn","","120.75","raw","204"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv02.dzn","","121.36","raw","204"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv03.dzn","","124.82","raw","281"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_swv03.dzn","","125.38","raw","281"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_orb01.dzn","","28.64","raw","178"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_orb01.dzn","","28.83","raw","178"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv10.dzn","","608.17","raw","48"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_swv10.dzn","","608.28","raw","48"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la22.dzn","","47.83","raw","41"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la22.dzn","","48.09","raw","41"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la09.dzn","","29.03","raw","210"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la09.dzn","","29.04","raw","210"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la29.dzn","","67.08","raw","27"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la29.dzn","","67.09","raw","27"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb09.dzn","","23.27","raw","0"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb09.dzn","","23.44","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la04.dzn","","9.79","raw","205"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la04.dzn","","9.84","raw","205"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb06.dzn","","6.66","raw","26"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb06.dzn","","6.67","raw","26"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb04.dzn","","4.66","raw","10"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_orb04.dzn","","4.67","raw","10"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la21.dzn","","52.59","raw","167"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la21.dzn","","52.89","raw","167"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la26.dzn","","605.47","raw","1368"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la26.dzn","","605.53","raw","1368"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la10.dzn","","28.44","raw","92"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la10.dzn","","28.56","raw","92"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la38.dzn","","77.75","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la38.dzn","","78.24","raw","0"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz5.dzn","","32.58","raw","103"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz5.dzn","","32.79","raw","103"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb01.dzn","","27.95","raw","178"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_orb01.dzn","","28.15","raw","178"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv02.dzn","","132.53","raw","204"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_swv02.dzn","","133.11","raw","204"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_ft06.dzn","","0.6","raw","2"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_ft06.dzn","","0.61","raw","2"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz6.dzn","","23.49","raw","140"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz6.dzn","","23.67","raw","140"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la07.dzn","","24.98","raw","225"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la07.dzn","","25.09","raw","225"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la27.dzn","","95.45","raw","283"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la27.dzn","","95.93","raw","283"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv02.dzn","","207.1","raw","204"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_swv02.dzn","","207.69","raw","204"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz5.dzn","","3.09","raw","103"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_abz5.dzn","","3.09","raw","103"
