"configuration","problem","model","data_file","status","time","flatBoolVars","run","bimanderTotalM","error","nSolutions","objective","method","flatIntVars","nClauseVariables","paths","solveTime","flatTime","evaluatedHalfReifiedConstraints","flatIntConstraints","processFlatZincTime","bimanderTotalOffset","flatBoolConstraints","bimanderTotalAbsoluteBalance","nVariables","bimanderCount","bimanderTotalN","eliminatedImplications","nClauses"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la11.dzn","OPTIMAL_SOLUTION","63.01271501899464","415789","raw","0","","2","165","minimize","36720","2300522","0","13.4621","39.8385","400","36719","2.7577","0","871780","0","288199","0","0","6383","792829"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la11.dzn","OPTIMAL_SOLUTION","61.80372237798292","365563","raw","0","","2","165","minimize","36720","2019598","0","18.4687","34.7354","180","36719","2.5537","0","891144","0","289338","0","0","6383","836187"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_orb07.dzn","OPTIMAL_SOLUTION","12.076649294001982","89870","raw","0","","2","102","minimize","5435","368993","0","0.6912","9.29438","260","5434","0.4817","0","172404","0","63820","0","0","9130","149852"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la39.dzn","OPTIMAL_SOLUTION","89.00221797899576","590719","raw","0","","2","96","minimize","25496","2150950","0","15.5849","59.367","420","25495","3.2577","0","1089266","0","430167","0","0","72715","942945"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la36.dzn","OPTIMAL_SOLUTION","90.64457288000267","618774","raw","0","","2","0","minimize","24965","2508389","0","10.9707","64.6983","540","24964","3.4505","0","1176550","0","441624","0","0","75881","1014409"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_abz7.dzn","OPTIMAL_SOLUTION","64.25551237695618","489054","raw","0","","2","32","minimize","18746","2004021","0","7.0726","45.7487","720","18745","2.6895","0","948026","0","342759","0","0","50934","814725"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_la37.dzn","OPTIMAL_SOLUTION","101.52165203599725","700438","raw","0","","2","102","minimize","28346","2571900","0","17.7828","68.0949","420","28345","3.7297","0","1300510","0","507154","0","0","81168","1123325"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la06.dzn","OPTIMAL_SOLUTION","25.659356814983767","213579","raw","0","","2","67","minimize","21386","1074565","0","2.595","18.5003","239","21385","1.3041","0","433157","0","158938","0","0","4050","405343"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'INEQUALITY'}","jsswet","jsswet.mzn","jsswet_la01.dzn","OPTIMAL_SOLUTION","11.498784782947041","95751","raw","0","","2","127","minimize","9373","464590","0","0.8565","8.60697","160","9372","0.5518","0","191393","0","71824","0","0","1831","178895"
"mzn_sat-open_wbo-binary","jsswet","jsswet.mzn","jsswet_la23.dzn","OPTIMAL_SOLUTION","35.771126526000444","5263","raw","0","","2","71","minimize","420","436592","0","32.5157","2.64216","2490","419","0.3941","0","6395","0","111381","0","0","","179953"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'EQUALITY'}","jsswet","jsswet.mzn","jsswet_la06.dzn","OPTIMAL_SOLUTION","28.634611118002795","200304","raw","0","","2","67","minimize","21386","1091072","0","3.3519","20.5017","135","21385","1.5157","0","488299","0","159844","0","0","4050","454343"
"mzn_sat-open_wbo-mixed-{'f_SAT_fzn_disjunctive_order_alternative': True, 'f_slack_channel': 'DOUBLE_INEQUALITY'}","jsswet","jsswet.mzn","jsswet_vw3x3.dzn","OPTIMAL_SOLUTION","1.0747233459842391","6059","raw","0","","2","0","minimize","1133","32267","0","0.0372","0.860001","48","1132","0.033","0","12365","0","3881","0","0","46","11056"
"mzn_sat-open_wbo-order-{'f_SAT_fzn_disjunctive_order_alternative': True}","jsswet","jsswet.mzn","jsswet_abz5.dzn","OPTIMAL_SOLUTION","35.66795558203012","267740","raw","0","","2","103","minimize","16801","965919","0","3.6027","25.9874","180","16800","1.4321","0","487845","0","197063","0","0","24074","430153"
