"configuration","problem","model","data_file","status","time","run","objective"
"gecode","knights","knights.mzn","n=18;m=18;holes={}","","0.09","raw",""
"gecode","knights","knights.mzn","n=12;m=12;holes={}","","0.07","raw",""
"chuffed","knights","knights.mzn","n=08;m=08;holes={}","","0.11","raw",""
"gecode","knights","knights.mzn","n=10;m=10;holes={}","","0.07","raw",""
"chuffed","knights","knights.mzn","n=18;m=18;holes={}","","1.23","raw",""
"picat_sat","knights","knights.mzn","n=14;m=14;holes={}","","7.72","raw",""
"picat_sat","knights","knights.mzn","n=16;m=16;holes={}","","7.7","raw",""
"chuffed","knights","knights.mzn","n=12;m=12;holes={}","","0.23","raw",""
"chuffed","knights","knights.mzn","n=14;m=14;holes={}","","0.39","raw",""
"gecode","knights","knights.mzn","n=20;m=20;holes={}","","0.09","raw",""
"chuffed","knights","knights.mzn","n=20;m=20;holes={}","","2.12","raw",""
"picat_sat","knights","knights.mzn","n=08;m=08;holes={}","","0.16","raw",""
"chuffed","knights","knights.mzn","n=16;m=16;holes={}","","0.7","raw",""
"gecode","knights","knights.mzn","n=22;m=22;holes={}","","2.69","raw",""
"picat_sat","knights","knights.mzn","n=18;m=18;holes={}","","10.01","raw",""
"picat_sat","knights","knights.mzn","n=10;m=10;holes={}","","0.19","raw",""
"picat_sat","knights","knights.mzn","n=12;m=12;holes={}","","5.76","raw",""
"picat_sat","knights","knights.mzn","n=20;m=20;holes={}","","15.91","raw",""
"chuffed","knights","knights.mzn","n=22;m=22;holes={}","","3.92","raw",""
"picat_sat","knights","knights.mzn","n=22;m=22;holes={}","","41.27","raw",""
"gecode","knights","knights.mzn","n=16;m=16;holes={}","","0.17","raw",""
"chuffed","knights","knights.mzn","n=10;m=10;holes={}","","0.15","raw",""
"gecode","knights","knights.mzn","n=08;m=08;holes={}","","0.07","raw",""
"gecode","knights","knights.mzn","n=14;m=14;holes={}","","0.08","raw",""
