"configuration","problem","model","data_file","status","time","run","objective"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","1.03","raw","654"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","1.26","raw","753"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","1.27","raw","766"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","1.4","raw","828"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","1.76","raw","902"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","10.2","raw","942"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","10.21","raw","971"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","11.63","raw","1042"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","26.11","raw","1075"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","32.45","raw","1091"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","35.64","raw","1136"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","84.83","raw","1143"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","85.89","raw","1160"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","88.2","raw","1207"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","95.29","raw","1218"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","95.29","raw","1224"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","96.82","raw","1234"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","139.52","raw","1243"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","166.02","raw","1253"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","166.41","raw","1264"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","178.16","raw","1281"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","206.63","raw","1330"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","272.04","raw","1362"
"gecode","orienteering","orienteering-control.mzn","orienteering_medium_3.dzn","","278.12","raw","1367"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","6.97","raw","348"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","17.34","raw","542"
"picat_sat","orienteering","orienteering-control.mzn","orienteering_n_medium_1.dzn","","70.56","raw","987"
