"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_5.dzn","","2.34","raw","445"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_5.dzn","","2.34","raw","445"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","606.67","raw","459"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","","606.73","raw","459"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","","602.27","raw","386"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","","602.31","raw","386"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","1.74","raw","628"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_2.dzn","","1.74","raw","628"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_4.dzn","","7.09","raw","545"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_4.dzn","","7.09","raw","545"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","","681.79","raw","2256"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","","682.38","raw","2256"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_1.dzn","","606.92","raw","378"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_1.dzn","","607.06","raw","378"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","605.21","raw","1063"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_medium_4.dzn","","605.24","raw","1063"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","","606.24","raw","788"
