"configuration","problem","model","data_file","status","time","evaluatedReifiedConstraints","paths","nVariables","nClauseVariables","eliminatedImplications","method","bimanderCount","flatBoolConstraints","bimanderTotalM","processFlatZincTime","flatIntVars","bimanderTotalOffset","objective","run","flatBoolVars","nSolutions","solveTime","bimanderTotalN","bimanderTotalAbsoluteBalance","flatIntConstraints","flatTime","evaluatedHalfReifiedConstraints","nClauses"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","SATISFIED","601.82676020707","179","0","10649","185075","","maximize","0","26673","0","0.1216","58","0","254","raw","3473","1","600.1307","0","0","56","1.41481","293","41352"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","SATISFIED","607.0165635540616","870","0","351065","1755232","2","maximize","0","49006","0","4.0081","58","0","134","raw","2603","2","600.1814","0","0","56","2.58707","","749380"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","UNKNOWN","619.354241007939","799","0","139488","2807916","","maximize","0","322574","0","1.8871","198","0","","raw","40820","0","600.1383","0","0","196","15.4825","993","522245"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","SATISFIED","606.3420202640118","1770","0","328167","1634671","","maximize","0","49855","0","3.5897","58","0","799","raw","2661","2","600.1943","0","0","56","2.33678","","707546"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","2.424484212999232","210","0","14310","81345","2","maximize","0","5933","0","1.0136","28","0","445","raw","614","2","0.7681","0","0","26","0.574141","","32379"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","SATISFIED","606.3847218540031","1652","0","82543","571786","2","maximize","0","52998","0","2.668","58","0","0","raw","4140","2","600.1334","0","0","56","3.3487","","203853"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_medium_1.dzn","OPTIMAL_SOLUTION","277.0617933400208","1652","0","74783","533982","2","maximize","0","52992","0","2.6238","58","0","1481","raw","4134","2","271.7091","0","0","56","2.45512","","188555"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","SATISFIED","606.3614784500096","1652","0","83322","575359","2","maximize","0","52994","0","2.7266","58","0","0","raw","4136","2","600.1339","0","0","56","3.27296","","205310"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","SATISFIED","605.9066362470621","1770","0","302136","1522838","","maximize","0","49855","0","3.0748","58","0","378","raw","2664","2","600.1699","0","0","56","2.42803","","655308"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_5.dzn","OPTIMAL_SOLUTION","428.3518283680314","870","0","72766","465869","2","maximize","0","50558","0","2.5362","58","0","1035","raw","2568","2","423.207","0","0","56","2.39548","","181905"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","SATISFIED","601.7480406790273","179","0","10649","185051","","maximize","0","26672","0","0.130399","58","0","431","raw","3473","1","600.1298","0","0","56","1.32199","293","41351"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_t_hard_1.dzn","SATISFIED","716.1006405119551","9900","0","10735258","43383550","2","maximize","0","1941380","0","47.6036","192","0","646","raw","28783","2","602.6741","0","0","190","54.859","","18063455"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_t_hard_5.dzn","SATISFIED","735.6863476670114","19900","0","10702766","43393126","","maximize","0","1951189","0","75.4134","192","0","1365","raw","28962","2","602.6148","0","0","190","48.2066","","18061573"
"mzn_sat-open-wbo-binary-binary-binary","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","SATISFIED","601.7679653080413","179","0","10649","185079","","maximize","0","26674","0","0.1156","58","0","1053","raw","3473","1","600.1294","0","0","56","1.34382","293","41353"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_1.dzn","SATISFIED","606.9492332279915","1770","0","351981","1769190","","maximize","0","49855","0","4.058099","58","0","459","raw","2663","2","600.1838","0","0","56","2.45356","","755155"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","SATISFIED","606.1326370610623","870","0","79406","497887","2","maximize","0","50565","0","2.6161","58","0","212","raw","2570","2","600.1333","0","0","56","3.1716","","194897"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","2.104076517978683","210","0","16442","92983","2","maximize","0","5596","0","1.4025","28","0","628","raw","626","2","0.1623","0","0","26","0.470196","","37005"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_t_hard_1.dzn","UNKNOWN","734.8847814250039","19900","0","10742125","43534660","","maximize","0","1951189","0","75.7094","192","0","","raw","28983","0","600.3119","0","0","190","49.21","","18124506"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","SATISFIED","606.4937318910379","870","0","327251","1620713","2","maximize","0","49006","0","3.6418","58","0","788","raw","2601","2","600.1767","0","0","56","2.44222","","701771"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","0.5248660020297393","210","0","2787","31603","2","maximize","0","7396","0","0.032599","28","0","628","raw","558","2","0.0338","0","0","26","0.39793","28","12410"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","0.9861926049925387","210","0","2787","31616","2","maximize","0","7402","0","0.032599","28","0","445","raw","558","2","0.4847","0","0","26","0.402494","28","12416"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_5.dzn","OPTIMAL_SOLUTION","5.962860362022184","210","0","15783","89191","2","maximize","0","5596","0","1.8744","28","0","445","raw","628","2","3.5357","0","0","26","0.484748","","35526"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_medium_4.dzn","SATISFIED","605.2841725249309","870","0","69118","447726","2","maximize","0","50557","0","2.5671","58","0","1165","raw","2563","2","600.1289","0","0","56","2.38897","","174616"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","UNKNOWN","740.4808902840596","9900","0","11145055","44814608","2","maximize","0","1941386","0","76.1819","198","0","","raw","28809","0","600.3401","0","0","196","54.2036","","18674916"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_easy_4.dzn","OPTIMAL_SOLUTION","7.163162170909345","210","0","14643","85272","2","maximize","0","5596","0","1.7938","28","0","545","raw","626","2","4.8421","0","0","26","0.467769","","33842"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_4.dzn","SATISFIED","602.431534905103","870","0","10489","205981","2","maximize","0","56648","0","0.1774","58","0","1162","raw","2028","2","600.1448","0","0","56","1.89354","58","76436"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_medium_5.dzn","SATISFIED","602.5492645839695","870","0","10489","205991","2","maximize","0","56647","0","0.1857","58","0","464","raw","2028","2","600.1357","0","0","56","2.0166","58","76435"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_2.dzn","SATISFIED","606.9613737310283","870","0","428589","1643949","2","maximize","0","50569","0","3.1406","58","0","1053","raw","2574","2","600.2054","0","0","56","3.25916","","692895"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_t_hard_2.dzn","SATISFIED","689.0316195179475","9900","0","3273597","17255704","2","maximize","0","1959666","0","25.8515","198","0","2256","raw","28710","2","600.9136","0","0","196","55.2487","","6867353"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","SATISFIED","606.9911352600902","870","0","432058","1656088","2","maximize","0","50566","0","3.2427","58","0","799","raw","2572","2","600.2005","0","0","56","3.20467","","698095"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_3.dzn","SATISFIED","606.6876287950436","870","0","87040","541921","2","maximize","0","49006","0","4.2976","58","0","495","raw","2592","2","600.1328","0","0","56","2.063009","","212281"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_n_medium_4.dzn","SATISFIED","607.1359063349664","1652","0","435974","1733557","2","maximize","0","52995","0","3.3155","58","0","538","raw","4138","2","600.1993","0","0","56","3.25923","","708508"
"mzn_sat-open-wbo-direct-order-order","orienteering","orienteering.mzn","orienteering_easy_2.dzn","OPTIMAL_SOLUTION","1.8205138989724219","210","0","13609","77897","2","maximize","0","5932","0","1.0038","28","0","628","raw","612","2","0.1809","0","0","26","0.571621","","30994"
"mzn_sat-open-wbo-direct-order-binary","orienteering","orienteering.mzn","orienteering_n_medium_5.dzn","OPTIMAL_SOLUTION","574.157126763952","870","0","10608","209764","2","maximize","0","58406","0","0.1951","58","0","771","raw","2086","2","571.5967","0","0","56","2.16575","58","78345"
"mzn_sat-open-wbo-direct-order-direct","orienteering","orienteering.mzn","orienteering_medium_1.dzn","SATISFIED","607.429013621062","870","0","673333","2501725","2","maximize","0","49006","0","4.5855","58","0","378","raw","2597","2","600.2785","0","0","56","2.13879","","1060458"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_easy_3.dzn","OPTIMAL_SOLUTION","3.363571238005534","435","0","17262","99544","","maximize","0","5800","0","1.2588","28","0","691","raw","656","2","1.6047","0","0","26","0.43883","","39671"
"mzn_sat-open-wbo-direct-direct-direct","orienteering","orienteering.mzn","orienteering_n_medium_3.dzn","SATISFIED","607.994530698983","1770","0","292700","1490162","","maximize","0","49855","0","5.2712","58","0","235","raw","2659","2","600.1701","0","0","56","2.29962","","637373"
"mzn_sat-open-wbo-order-order-order","orienteering","orienteering.mzn","orienteering_medium_3.dzn","SATISFIED","605.3905958279502","1652","0","73542","528820","2","maximize","0","52987","0","2.5751","58","0","548","raw","4129","2","600.1309","0","0","56","2.45502","","186416"
