"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","994.dzn","","12.71","raw","7765"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","994.dzn","","12.73","raw","7765"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","1979.dzn","","20.66","raw","7735"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","1979.dzn","","21.18","raw","7735"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.17","raw","10226"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.33","raw","10224"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.48","raw","10222"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.57","raw","10213"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.67","raw","10211"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.79","raw","10209"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.88","raw","10208"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","1.98","raw","10201"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.069999","raw","10199"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.17","raw","10197"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.26","raw","10196"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.38","raw","10194"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.47","raw","10192"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.57","raw","10190"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.66","raw","10189"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.76","raw","10188"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.85","raw","10186"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","2.97","raw","10184"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.06","raw","10183"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.16","raw","10181"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.25","raw","10179"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.35","raw","10177"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.44","raw","10176"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.56","raw","10174"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.65","raw","10172"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.75","raw","10171"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.84","raw","10169"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","3.94","raw","10167"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.03","raw","10165"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.16","raw","10164"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.25","raw","10163"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.35","raw","10161"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.44","raw","10159"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.54","raw","10158"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.63","raw","10157"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.75","raw","10155"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.84","raw","10154"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","4.94","raw","10153"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.03","raw","10151"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.13","raw","10149"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.22","raw","10148"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.34","raw","10147"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.43","raw","10146"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.52","raw","10144"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.62","raw","10142"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.73","raw","10141"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.82","raw","10140"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","5.93","raw","10138"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.03","raw","10137"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.12","raw","10136"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.22","raw","10134"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.32","raw","10132"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.41","raw","10131"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.53","raw","10130"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.62","raw","10129"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.72","raw","10128"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.82","raw","10127"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","6.91","raw","10126"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.01","raw","10125"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.12","raw","10124"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.21","raw","10122"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.31","raw","10120"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.41","raw","10119"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.5","raw","10118"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.6","raw","10117"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.71","raw","10116"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.8","raw","10115"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.9","raw","10114"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","7.99","raw","10113"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.09","raw","10112"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.18","raw","10111"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.3","raw","10109"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.39","raw","10108"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.49","raw","10107"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.58","raw","10106"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.68","raw","10105"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.77","raw","10104"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.88","raw","10103"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","8.98","raw","10102"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.07","raw","10101"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.17","raw","10100"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.26","raw","10099"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.36","raw","10098"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.47","raw","10097"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.57","raw","10096"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.66","raw","10095"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.76","raw","10094"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","","9.86","raw","10093"
