"configuration","problem","model","data_file","status","time","flatIntConstraints","solveTime","backjumps","run","optTime","flatTime","flatIntVars","bimanderTotalN","propagations","nodes","randomSeed","nClauseVariables","processFlatZincTime","trailMem","peakDepth","bimanderTotalOffset","paths","evaluatedHalfReifiedConstraints","baseMem","flatBoolVars","intVars","peakMem","solutions","failures","method","variables","nogoods","initTime","boolVariables","propagators","nVariables","bimanderTotalM","flatBoolConstraints","nClauses","restarts","nSolutions","bimanderTotalAbsoluteBalance","objective","bimanderCount"
"chuffed","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","204.1435467787087","2168","202.042","0","raw","202.041","0.917678","2738","","50175222","1009873","1637204498","","","1.41","592","","0","","0.0","","2288","0.0","","0","minimize","181796","0","0.219","179506","1448","","","","","2062","2062","","7755",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","18.85820854920894","97000","3.4454","","raw","","13.0515","97001","0","","","","190512","0.4831","","","0","0","70","","51810","","","","","minimize","","","","","","63344","0","56378","129157","","2","0","7739","0"
"picat_sat","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","114.43177249561995","2168","113.4679857539013","","raw","","0.870481","2738","","","","","","0.09330574171864991","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7755",""
"chuffed-free","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","172.0553241437301","2111","169.97","0","raw","169.969","0.876301","2719","","45657281","873690","1637204426","","","1.41","610","","0","","0.0","","2221","0.0","","0","minimize","173205","0","0.203","170982","1410","","","","","1778","1778","","7739",""
"picat_sat","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","75.78604731615633","1961","74.82226057443768","","raw","","0.836727","2669","","","","","","0.12705974171864987","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7768",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","20.578031877055764","96942","4.6705","","raw","","12.8018","96943","0","","","","428363","0.8668","","","0","0","","","82378","","","","","minimize","","","","","","97278","0","145667","224175","","1","0","7768","0"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","25.132651302963495","1211","13.0161","","raw","","11.4613","1212","0","","","","127877","0.1275","","","0","0","180","","3926","","","","","minimize","","","","","","15763","0","11968","37460","","2","0","7755","0"
"picat_sat","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","90.80054778140038","2177","89.83676103968173","","raw","","0.872796","2741","","","","","","0.09099074171864985","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7738",""
"gecode","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","187.17784753721207","1961","185.365","","raw","","0.818307","2669","","2324541","403738","","","","","635","","0","","","","","","2017","54093","minimize","5214","","0.017429","","1961","","","","","0","2017","","7768",""
"chuffed-free","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","202.41411898098886","2168","200.304","0","raw","200.303","0.922634","2738","","50175222","1009873","1637204495","","","1.41","592","","0","","0.0","","2288","0.0","","0","minimize","181796","0","0.211","179506","1448","","","","","2062","2062","","7755",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","14.321239228360355","1211","1.7444","","raw","","11.8644","1212","0","","","","131426","0.1255","","","0","0","180","","3958","","","","","minimize","","","","","","16184","0","12066","38346","","9","0","7765","0"
"gecode","tablelayout","TableLayout.mzn","24532.dzn","OPTIMAL_SOLUTION","133.3992177657783","2084","131.594","","raw","","0.871018","2710","","1351639","248808","","","","","519","","0","","","","","","1538","33799","minimize","5173","","0.019456","","2084","","","","","0","1538","","7789",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","23.14040093868971","124838","3.834","","raw","","16.3927","124839","0","","","","226758","0.4976","","","0","0","70","","65820","","","","","minimize","","","","","","77973","0","70564","158520","","2","0","7735","0"
"chuffed-free","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","200.13254536222667","1961","198.085","0","raw","198.084","0.836","2669","","41803808","933447","1637204402","","","1.41","579","","0","","0.0","","2082","0.0","","0","minimize","172482","0","0.198","170398","1310","","","","","2021","2021","","7768",""
"chuffed-free","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","271.4147668387741","1994","269.321","0","raw","269.32","0.83563","2680","","59158960","1431971","1637204402","","","1.41","696","","0","","0.0","","2117","0.0","","0","minimize","173452","0","0.198","171333","1332","","","","","2694","2694","","7733",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","16.612177565693855","96902","0.7487","","raw","","12.9001","96903","0","","","","429324","0.67","","","0","0","","","82585","","","","","minimize","","","","","","97497","0","145957","224594","","1","0","7788","0"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","19.690497546456754","1211","7.1709","","raw","","11.8131","1212","0","","","","131908","0.1244","","","0","0","180","","4006","","","","","minimize","","","","","","16224","0","12174","38461","","8","0","7741","0"
"gecode","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","246.35538589581847","2048","244.512","","raw","","0.881142","2698","","5846204","693653","","","","","736","","0","","","","","","2693","91603","minimize","5185","","0.019051","","2048","","","","","0","2693","","7765",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","14.509242014959455","1101","1.8076","","raw","","12.062","1102","0","","","","121095","0.1235","","","0","0","180","","3930","","","","","minimize","","","","","","15705","0","12189","37544","","8","0","7788","0"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","26.088576185517013","102028","9.4718","","raw","","14.3268","102029","0","","","","200864","0.4152","","","0","0","70","","54307","","","","","minimize","","","","","","66144","0","58903","134776","","2","0","7755","0"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","24.150337834842503","124826","4.9384","","raw","","16.3549","124827","0","","","","227065","0.508499","","","0","0","70","","65786","","","","","minimize","","","","","","78004","0","70583","158650","","2","0","7741","0"
"picat_sat","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","82.98983145691454","2144","82.0260447151959","","raw","","0.91432","2730","","","","","","0.04946674171864984","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7735",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","18.595084925182164","97012","2.8934","","raw","","13.3104","97013","0","","","","190730","0.5439","","","0","0","70","","51688","","","","","minimize","","","","","","63567","0","56153","129558","","2","0","7733","0"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","16.233225935138762","1211","3.6033","","raw","","11.9436","1212","0","","","","131771","0.1231","","","0","0","180","","4034","","","","","minimize","","","","","","16187","0","12185","38355","","8","0","7735","0"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","28.3639481542632","124832","7.0777","","raw","","17.4758","124833","0","","","","536630","0.7817","","","0","0","","","105268","","","","","minimize","","","","","","122022","0","187012","282451","","1","0","7738","0"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","13.165923869237304","1101","0.5895","","raw","","11.9344","1102","0","","","","121095","0.1191","","","0","0","180","","3930","","","","","minimize","","","","","","15705","0","12189","37544","","2","0","7788","0"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","24532.dzn","UNKNOWN","615.967205923982","101960","600.1364","","raw","","14.1722","101961","0","","","","199635","0.4094","","","0","0","70","","54205","","","","","minimize","","","","","","65947","0","58738","134356","","0","0","","0"
"gecode","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","195.6114811329171","2177","193.765","","raw","","0.85456","2741","","2772119","417529","","","","","647","","0","","","","","","2098","55856","minimize","5142","","0.019697","","2177","","","","","0","2098","","7738",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","20.385278331115842","97000","4.3847","","raw","","13.5461","97001","0","","","","190512","0.5079","","","0","0","70","","51810","","","","","minimize","","","","","","63344","0","56378","129157","","2","0","7739","0"
"picat_sat","tablelayout","TableLayout.mzn","24532.dzn","OPTIMAL_SOLUTION","94.68059859145433","2084","93.71681184973568","","raw","","0.914148","2710","","","","","","0.049638741718649904","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7789",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","27.608726978302002","102028","10.7316","","raw","","14.4939","102029","0","","","","200864","0.437","","","0","0","70","","54307","","","","","minimize","","","","","","66144","0","58903","134776","","2","0","7755","0"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","20.303011311218143","124832","2.3654","","raw","","15.1406","124833","0","","","","221801","0.5077","","","0","0","70","","65565","","","","","minimize","","","","","","77417","0","69824","157059","","2","0","7738","0"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","18051.dzn","OPTIMAL_SOLUTION","18.774320363998413","1211","6.1477","","raw","","11.9159","1212","0","","","","131908","0.1269","","","0","0","180","","4006","","","","","minimize","","","","","","16224","0","12174","38461","","2","0","7741","0"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","21.693663273006678","124832","3.8748","","raw","","15.0068","124833","0","","","","221801","0.504399","","","0","0","70","","65565","","","","","minimize","","","","","","77417","0","69824","157059","","2","0","7738","0"
"gecode","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","192.92085173074156","2168","191.009","","raw","","0.909996","2738","","2574811","459198","","","","","648","","0","","","","","","2065","61112","minimize","5145","","0.020432","","2168","","","","","0","2065","","7755",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","24.36442630365491","124838","5.1796","","raw","","16.4041","124839","0","","","","226758","0.4877","","","0","0","70","","65820","","","","","minimize","","","","","","77973","0","70564","158520","","2","0","7735","0"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","30879.dzn","OPTIMAL_SOLUTION","16.6037766225636","97000","0.7306","","raw","","12.8073","97001","0","","","","428930","0.7493","","","0","0","","","82632","","","","","minimize","","","","","","97443","0","146002","224467","","1","0","7739","0"
"picat_sat","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","82.9098782306537","2048","81.94609148893505","","raw","","0.868969","2698","","","","","","0.09481774171864987","","","","0","","","","","","","","minimize","","","","","","","","","","","10","","7765",""
"chuffed","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","207.68018345627934","2177","205.748","0","raw","205.748","0.848978","2741","","53590847","1023507","1637204420","","","1.41","592","","0","","0.0","","2293","0.0","","0","minimize","102804","0","0.035","100509","1454","","","","","2102","2102","","7738",""
"chuffed-free","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","258.7227294286713","2048","256.833","0","raw","256.833","0.881372","2698","","75470864","1492222","1637204544","","","1.41","699","","0","","0.0","","2166","0.0","","0","minimize","113633","0","0.037","111465","1368","","","","","2701","2701","","7765",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","28.022506767883897","124778","7.1748","","raw","","17.2425","124779","0","","","","537162","0.7599","","","0","0","","","105343","","","","","minimize","","","","","","122140","0","187116","282701","","1","0","7765","0"
"picat_sat","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","77.20817996188998","2114","76.24439322017133","","raw","","0.921237","2720","","","","","","0.04254974171864989","","","","0","","","","","","","","minimize","","","","","","","","","","","11","","7788",""
"chuffed","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","221.73718164674938","2114","219.678","0","raw","219.678","0.881997","2720","","57101455","1274581","1637204631","","","1.41","670","","0","","0.0","","2236","0.0","","0","minimize","173682","0","0.204","171444","1412","","","","","2389","2389","","7788",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","22.40217327605933","124838","0.9654","","raw","","17.6428","124839","0","","","","537212","0.7842","","","0","0","","","105471","","","","","minimize","","","","","","122195","0","187247","282752","","1","0","7735","0"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","20.858782356604934","96902","4.8744","","raw","","13.0077","96903","0","","","","429324","0.6697","","","0","0","","","82585","","","","","minimize","","","","","","97497","0","145957","224594","","1","0","7788","0"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","19.286201394163072","102028","0.7675","","raw","","15.412","102029","0","","","","456263","0.6527","","","0","0","","","86717","","","","","minimize","","","","","","103434","0","154041","238074","","1","0","7755","0"
"chuffed","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","261.85016264859587","2048","259.898","0","raw","259.898","0.910563","2698","","75470864","1492222","1637204545","","","1.41","699","","0","","0.0","","2166","0.0","","0","minimize","113633","0","0.037","111465","1368","","","","","2701","2701","","7765",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","19.57337383273989","97012","3.8659","","raw","","13.3343","97013","0","","","","190730","0.5373","","","0","0","70","","51688","","","","","minimize","","","","","","63567","0","56153","129558","","2","0","7733","0"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","20.295166427269578","1211","7.8781","","raw","","11.7218","1212","0","","","","127877","0.1269","","","0","0","180","","3926","","","","","minimize","","","","","","15763","0","11968","37460","","8","0","7755","0"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","28.164908934384584","124838","6.6958","","raw","","17.6456","124839","0","","","","537212","0.781","","","0","0","","","105471","","","","","minimize","","","","","","122195","0","187247","282752","","1","0","7735","0"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","21996.dzn","OPTIMAL_SOLUTION","13.628145467489958","1101","2.4294","","raw","","10.6118","1102","0","","","","115031","0.1389","","","0","0","180","","3674","","","","","minimize","","","","","","15437","0","11009","36215","","2","0","7768","0"
"chuffed-free","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","223.09658999182284","2114","221.038","0","raw","221.037","0.881533","2720","","57101455","1274581","1637204631","","","1.41","670","","0","","0.0","","2236","0.0","","0","minimize","173682","0","0.207","171444","1412","","","","","2389","2389","","7788",""
"chuffed-free","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","208.9755537994206","2177","207.04","0","raw","207.039","0.855434","2741","","53590847","1023507","1637204420","","","1.41","592","","0","","0.0","","2293","0.0","","0","minimize","102804","0","0.036","100509","1454","","","","","2102","2102","","7738",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","17.32480624411255","96902","0.701","","raw","","14.2183","96903","0","","","","192734","0.3992","","","0","0","70","","51803","","","","","minimize","","","","","","63578","0","56644","129872","","2","0","7788","0"
"gecode","tablelayout","TableLayout.mzn","6591.dzn","OPTIMAL_SOLUTION","213.749311292544","2114","211.902","","raw","","0.882403","2720","","3488554","534873","","","","","725","","0","","","","","","2389","71150","minimize","5163","","0.019163","","2114","","","","","0","2389","","7788",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","28843.dzn","OPTIMAL_SOLUTION","24.240964759141207","102028","5.4427","","raw","","15.6852","102029","0","","","","456263","0.6589","","","0","0","","","86717","","","","","minimize","","","","","","103434","0","154041","238074","","1","0","7755","0"
"gecode","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","256.3249694183469","2144","254.487","","raw","","0.909643","2730","","6297977","706488","","","","","771","","0","","","","","","2882","93534","minimize","5153","","0.019985","","2144","","","","","0","2882","","7735",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","30970.dzn","OPTIMAL_SOLUTION","15.316152183339","1101","3.8964","","raw","","10.8275","1102","0","","","","117201","0.1374","","","0","0","180","","3760","","","","","minimize","","","","","","15639","0","11349","36826","","7","0","7733","0"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","7227.dzn","OPTIMAL_SOLUTION","22.190763214603066","124832","0.9253","","raw","","17.3976","124833","0","","","","536630","0.7816","","","0","0","","","105268","","","","","minimize","","","","","","122022","0","187012","282451","","1","0","7738","0"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-best","tablelayout","TableLayout.mzn","994.dzn","OPTIMAL_SOLUTION","25.05475138872862","124778","6.0995","","raw","","16.1936","124779","0","","","","226720","0.4801","","","0","0","70","","65714","","","","","minimize","","","","","","77940","0","70464","158500","","2","0","7765","0"
"chuffed-free","tablelayout","TableLayout.mzn","1979.dzn","OPTIMAL_SOLUTION","273.0104448264465","2144","271.085","0","raw","271.085","0.872382","2730","","81335726","1629694","1637204603","","","1.41","741","","0","","0.0","","2264","0.0","","0","minimize","111894","0","0.038","109628","1432","","","","","2884","2884","","7735",""
