"configuration","problem","model","data_file","status","time","run","objective"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","602.09","raw","4293"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","602.13","raw","4293"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","607.25","raw","5096"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1303-line283.dzn","","607.5","raw","5096"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","","0.14","raw","1908"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","","0.15","raw","1783"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","","0.16","raw","1758"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line976.dzn","","0.16","raw","1708"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","","1.6","raw","841"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","","1.61","raw","841"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","","13.18","raw","2158"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1407-line976.dzn","","13.2","raw","2158"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","3.04","raw","5266"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","3.27","raw","3841"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","4.64","raw","3823"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","5.8","raw","3730"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","18.49","raw","3696"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","24.62","raw","3693"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","28.0","raw","3692"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","602.95","raw","3692"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","","0.99","raw","3121"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","","1.01","raw","2353"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","","1.02","raw","1953"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","","1.07","raw","1653"
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-760-310-line795.dzn","","601.0","raw","1653"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","5.37","raw","3363"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","5.83","raw","3163"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","6.21","raw","3148"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","6.48","raw","3146"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","6.73","raw","3142"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","6.99","raw","3135"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","7.25","raw","3128"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","7.62","raw","3095"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","7.88","raw","3051"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","8.13","raw","2989"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","8.39","raw","2988"
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1250-1074-line298.dzn","","9.47","raw","2988"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","","138.01","raw","2602"
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-msu3","tablelayout","TableLayout.mzn","en-1000-274-line403.dzn","","138.03","raw","2602"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","","0.13","raw","966"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","","0.14","raw","891"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","","0.15","raw","866"
"chuffed-free","tablelayout","TableLayout.mzn","en-1250-1407-line1350.dzn","","0.15","raw","841"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.04","raw","3177"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.36","raw","3160"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.45","raw","3153"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.6","raw","3152"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.73","raw","3116"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","2.84","raw","3102"
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","","3.35","raw","3102"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","40.12","raw","6493"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","","40.16","raw","6493"
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-oll","tablelayout","TableLayout.mzn","en-1250-158-line1950.dzn","","603.05","raw","5291"
