"configuration","problem","model","data_file","status","time","nClauses","boolVariables","peakDepth","propagators","initTime","variables","bimanderTotalOffset","solveTime","run","error","optTime","flatTime","objective","nSolutions","bimanderCount","nogoods","failures","paths","peakMem","method","restarts","intVars","backjumps","bimanderTotalAbsoluteBalance","nClauseVariables","baseMem","nodes","flatBoolConstraints","trailMem","flatIntVars","nVariables","bimanderTotalM","flatBoolVars","bimanderTotalN","randomSeed","flatIntConstraints","evaluatedHalfReifiedConstraints","propagations","processFlatZincTime","solutions"
"mzn_sat-open-wbo-order_binary_binary-True-PB_BEST-best","tablelayout","TableLayout.mzn","en-1000-1479-line419.dzn","SATISFIED","601.2501550698653","2807","","","","","","0","600.1419","raw","","","0.982959","3890","2","0","","","0","","minimize","","","","0","9540","","","1641","","686","1073","0","712","0","","685","90","","0.009",""
"chuffed","tablelayout","TableLayout.mzn","en-1250-1305-line158.dzn","OPTIMAL_SOLUTION","0.5228300346061587","","45376","93","318","0.055","46255","","0.057","raw","","0.057","0.171128","5018","9","","45","45","0","0.0","minimize","9","877","99","","","0.0","463","","0.28","1044","","","","","1638165027","630","","8603","",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1283-line119.dzn","SATISFIED","603.4426484042779","19680","","","","","","0","600.1898","raw","","","2.72476","10615","2","0","","","0","","minimize","","","","0","25084","","","10114","","17526","9656","0","9329","0","","17525","16","","0.0585",""
"mzn_sat-open-wbo-order_orderBinary_order-True-PB_BEST-part-msu3","tablelayout","TableLayout.mzn","en-1250-1407-line1986.dzn","OPTIMAL_SOLUTION","14.36775428429246","39241","","","","","","0","11.2098","raw","","","2.55813","2125","2","0","","","0","","minimize","","","","0","70017","","","28804","","20436","16703","0","16567","0","","20435","","","0.1471",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1303-line283.dzn","SATISFIED","601.6851535663009","2891","","","","","","0","600.1274","raw","","","1.44821","4224","12","0","","","0","","minimize","","","","0","12094","","","1970","","902","1055","0","902","0","","901","102","","0.0087",""
"chuffed","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","0.2544457660987973","","29264","113","228","0.036","29951","","0.027","raw","","0.023","0.124828","4502","1","","26","26","0","0.0","minimize","1","685","160","","","0.0","300","","0.28","809","","","","","1638162147","450","","6967","",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-linear-su","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","10.181771852076054","18324","","","","","","0","7.8034","raw","","","2.03311","1909","2","0","","","0","","minimize","","","","0","22181","","","9166","","16670","9037","0","8662","0","","16669","14","","0.0522",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1000-251-line273.dzn","OPTIMAL_SOLUTION","7.415900856256485","45508","","","","","","0","3.0471","raw","","","3.55183","6493","6","0","","","0","","minimize","","","","0","64083","","","28424","","34049","21081","0","21073","0","","34048","","","0.1313",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1000-1439-line292.dzn","SATISFIED","603.0350525658578","17853","","","","","","0","600.1768","raw","","","2.45156","4727","2","0","","","0","","minimize","","","","0","21655","","","9576","","16518","8658","0","8737","0","","16517","8","","0.0529",""
"mzn_sat-loandra-order_orderBinary_order-True-PB_BEST-only-linear-search","tablelayout","TableLayout.mzn","en-1000-1286-line764.dzn","OPTIMAL_SOLUTION","3.710946101695299","29239","","","","","","0","0.7935","raw","","","2.38095","4502","4","0","","","0","","minimize","","","","0","38924","","","17607","","23318","13802","0","13786","0","","23317","","","0.0932",""
"mzn_sat-open-wbo-order_binary_order-True-PB_BEST-wbo","tablelayout","TableLayout.mzn","en-1250-1479-line1099.dzn","SATISFIED","602.6279753446579","18365","","","","","","0","600.1662","raw","","","2.10027","2184","2","0","","","0","","minimize","","","","0","22286","","","9166","","16670","9059","0","8662","0","","16669","14","","0.0555",""
"mzn_sat-loandra-order_binary_order-True-PB_BEST-core-boosted","tablelayout","TableLayout.mzn","en-1000-1479-line1099.dzn","OPTIMAL_SOLUTION","4.3304723631590605","18324","","","","","","0","1.9443","raw","","","2.04082","1909","10","0","","","0","","minimize","","","","0","22181","","","9166","","16670","9037","0","8662","0","","16669","14","","0.0528",""
"mzn_sat-loandra-order_binary_binary-True-PB_BEST-core-guided","tablelayout","TableLayout.mzn","en-1250-1479-line1633.dzn","SATISFIED","601.1972628785297","2719","","","","","","0","600.0226","raw","","","1.0239","3053","12","0","","","0","","minimize","","","","0","9235","","","1529","","650","1076","0","692","0","","649","86","","0.0075",""
