"problem","model","data_file"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_abz5.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_abz6.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_abz7.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_abz8.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_abz9.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_ft06.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_ft10.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_ft20.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la01.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la02.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la03.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la04.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la05.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la06.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la07.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la08.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la09.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la10.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la11.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la12.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la13.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la14.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la15.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la16.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la17.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la18.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la19.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la20.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la21.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la22.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la23.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la24.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la25.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la26.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la27.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la28.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la29.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la30.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la31.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la32.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la33.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la34.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la35.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la36.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la37.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la38.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la39.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_la40.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb01.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb02.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb03.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb04.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb05.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb06.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb07.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb08.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb09.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_orb10.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv01.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv02.dzn"
"jsswet","../../models/jsswet/jsswet.mzn","../../models/jsswet/jobshop_wet_by_1/jobshop_swv03.dzn"
