"problem","model","data_file"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_easy_2.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_easy_3.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_easy_4.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_easy_5.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_medium_1.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_medium_3.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_medium_4.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_medium_5.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_n_medium_1.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_n_medium_2.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_n_medium_3.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_n_medium_4.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_n_medium_5.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_t_hard_1.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_t_hard_2.dzn"
"orienteering","../../models/orienteering/orienteering.mzn","../../models/orienteering/orienteering_t_hard_5.dzn"
